campaign_id,date,bid_adjustment,budget_adjustment,audience_action,creative_action
campaign_000001,2025-10-11,0.13468029614127394,0.10923222772633547,0,0
campaign_000001,2025-10-17,0.23810465289792082,0.10963580316312836,0,0
campaign_000001,2025-10-22,0.19178219938202373,0.13292299653618617,0,0
campaign_000001,2025-10-29,0.24170829937663968,0.17707147161433848,0,0
campaign_000001,2025-11-02,0.11713201295939264,0.07545198558433483,0,0
campaign_000001,2025-11-10,0.19748104121876384,0.07734258177139372,0,1
campaign_000002,2025-11-07,-0.23289829382910637,-0.1688170617280959,0,0
campaign_000002,2025-11-19,0.0,0.0,0,3
campaign_000002,2025-11-23,0.0,0.0,2,0
campaign_000002,2025-11-28,0.0,0.0,0,0
campaign_000002,2025-12-05,0.0,0.0,2,1
campaign_000002,2025-12-09,-0.1293102813237244,-0.09976808021674756,0,0
campaign_000002,2025-12-15,-0.23286835008071388,-0.06587136880038225,0,1
campaign_000002,2025-12-19,0.0,0.0,0,0
campaign_000002,2025-12-21,0.0,0.0,0,3
campaign_000002,2025-12-27,0.0,0.0,0,0
campaign_000002,2026-01-07,0.0,0.0,0,3
campaign_000003,2025-12-01,-0.10370070193192753,-0.17188820838536267,0,0
campaign_000003,2025-12-13,-0.16621044196250492,-0.08732329282873727,0,0
campaign_000003,2025-12-14,-0.06950933854283164,-0.19003342334663378,0,0
campaign_000003,2025-12-18,-0.09875727720996462,-0.1312215486677164,0,0
campaign_000003,2025-12-21,-0.091898041145023,-0.18127687790497277,0,0
campaign_000003,2025-12-25,-0.16849139379351383,-0.13893402663115587,0,1
campaign_000003,2026-01-02,-0.22769755753574472,-0.12262071459315078,0,1
campaign_000003,2026-01-05,-0.17686385034772573,-0.16619280979898512,0,0
campaign_000003,2026-01-08,-0.12553134707655078,-0.05282332448565581,0,1
campaign_000003,2026-01-23,-0.059715355830886795,-0.15540638145389996,0,1
campaign_000003,2026-01-29,-0.09711185438489912,-0.1385493419936011,0,1
campaign_000003,2026-02-03,-0.11158527059512621,-0.16906218292457711,0,1
campaign_000003,2026-02-11,-0.19808471014499016,-0.19494853941883042,0,3
campaign_000003,2026-02-12,-0.23101641263566605,-0.0501661081950064,0,0
campaign_000003,2026-02-13,-0.08257607443386955,-0.1070710699945545,1,0
campaign_000003,2026-02-16,-0.09417948272084263,-0.1085453862271076,0,0
campaign_000003,2026-02-17,-0.24365124692540227,-0.13649972837702037,0,0
campaign_000003,2026-02-27,0.16023199238327443,0.11572679198725169,0,3
campaign_000003,2026-02-28,-0.09544571606698417,-0.1644600012640027,0,0
campaign_000003,2026-03-02,-0.1614403726912525,-0.1608427210647728,0,0
campaign_000003,2026-03-11,-0.16616342481957572,-0.17476945163502228,1,3
campaign_000003,2026-03-20,0.24851635909755268,0.0734302261895899,0,0
campaign_000004,2025-09-27,0.0,0.0,0,0
campaign_000004,2025-10-01,0.0,0.0,0,0
campaign_000004,2025-10-03,0.0,0.0,0,0
campaign_000004,2025-10-05,0.0732917860963425,0.0690644360327659,0,0
campaign_000004,2025-10-24,0.0,0.0,0,3
campaign_000004,2025-10-26,0.0,0.0,0,0
campaign_000004,2025-10-28,0.0,0.0,0,0
campaign_000004,2025-11-12,0.0,0.0,0,1
campaign_000004,2025-11-21,0.0,0.0,0,1
campaign_000004,2025-11-23,0.0,0.0,0,1
campaign_000005,2025-08-20,0.0,0.0,0,0
campaign_000005,2025-08-21,-0.21291822992518913,-0.1726905306677217,0,0
campaign_000005,2025-09-10,0.0,0.0,0,3
campaign_000005,2025-09-11,0.0,0.0,0,0
campaign_000005,2025-09-13,0.0,0.0,0,0
campaign_000005,2025-09-18,0.0,0.0,0,0
campaign_000005,2025-09-21,0.0,0.0,0,0
campaign_000005,2025-09-29,0.0,0.0,0,1
campaign_000005,2025-10-01,0.0,0.0,0,1
campaign_000005,2025-10-03,0.0,0.0,0,0
campaign_000005,2025-10-11,-0.23171474622765814,-0.11647419579646384,0,3
campaign_000005,2025-10-15,0.0,0.0,0,0
campaign_000005,2025-10-16,0.0,0.0,0,0
campaign_000005,2025-10-19,0.0,0.0,0,0
campaign_000005,2025-10-20,0.0,0.0,0,0
