campaign_id,date,platform,optimization_goal,daily_budget,target_cpa,min_roas,impressions,clicks,conversions,spend,revenue,ctr,cvr,roas,cpa,cpc,cpm
017EBBBE0B84EC3065F8A4FAFA39A4B2,2020-08-29,criteo,roas,0.06,0.06,1.5,18,1,0,0.05,-1.0,0.05555555555555555,0.0,-1.0,0.05,0.05,2.7777777777777777
017EBBBE0B84EC3065F8A4FAFA39A4B2,2020-08-30,criteo,roas,0.06,0.06,1.5,34,1,0,0.05,-1.0,0.029411764705882353,0.0,-1.0,0.05,0.05,1.4705882352941175
017EBBBE0B84EC3065F8A4FAFA39A4B2,2020-08-31,criteo,roas,0.06,0.06,1.5,15,1,0,0.05,-1.0,0.06666666666666667,0.0,-1.0,0.05,0.05,3.3333333333333335
017EBBBE0B84EC3065F8A4FAFA39A4B2,2020-09-18,criteo,roas,0.06,0.06,1.5,15,1,0,0.05,-1.0,0.06666666666666667,0.0,-1.0,0.05,0.05,3.3333333333333335
017EBBBE0B84EC3065F8A4FAFA39A4B2,2020-09-25,criteo,roas,0.06,0.06,1.5,91,1,0,0.05,-1.0,0.01098901098901099,0.0,-1.0,0.05,0.05,0.5494505494505495
01E57DAC509AE48685D6219DE7718BA8,2020-08-07,criteo,roas,0.40800000000000003,0.40800000000000003,1.5,83,2,1,0.34,13.44964,0.024096385542168676,0.5,13.44964,0.34,0.17,4.096385542168675
01E57DAC509AE48685D6219DE7718BA8,2020-08-08,criteo,roas,0.24,0.24,1.5,76,4,0,0.2,-4.0,0.05263157894736842,0.0,-4.0,0.2,0.05,2.631578947368421
01E57DAC509AE48685D6219DE7718BA8,2020-08-10,criteo,roas,0.12,0.12,1.5,46,2,0,0.1,-2.0,0.043478260869565216,0.0,-2.0,0.1,0.05,2.1739130434782608
01E57DAC509AE48685D6219DE7718BA8,2020-08-11,criteo,roas,0.672,0.672,1.5,60,3,1,0.56,45.33189,0.05,0.3333333333333333,45.33189,0.56,0.18666666666666668,9.333333333333334
01E57DAC509AE48685D6219DE7718BA8,2020-08-21,criteo,roas,0.40800000000000003,0.40800000000000003,1.5,91,3,1,0.34,26.88454,0.03296703296703297,0.3333333333333333,26.88454,0.34,0.11333333333333334,3.7362637362637368
01E57DAC509AE48685D6219DE7718BA8,2020-08-22,criteo,roas,1.08,0.54,1.5,59,4,2,0.9,60.84314,0.06779661016949153,0.5,60.84314,0.45,0.225,15.254237288135593
01E57DAC509AE48685D6219DE7718BA8,2020-09-14,criteo,roas,0.12,0.12,1.5,31,2,0,0.1,-2.0,0.06451612903225806,0.0,-2.0,0.1,0.05,3.225806451612903
01E57DAC509AE48685D6219DE7718BA8,2020-09-18,criteo,roas,0.06,0.06,1.5,19,1,0,0.05,-1.0,0.05263157894736842,0.0,-1.0,0.05,0.05,2.631578947368421
01E57DAC509AE48685D6219DE7718BA8,2020-09-29,criteo,roas,0.18000000000000002,0.18000000000000002,1.5,41,3,0,0.15000000000000002,-3.0,0.07317073170731707,0.0,-3.0,0.15000000000000002,0.05,3.6585365853658542
01E57DAC509AE48685D6219DE7718BA8,2020-09-30,criteo,roas,0.864,0.432,1.5,67,4,2,0.72,28.54212,0.05970149253731343,0.5,28.54212,0.36,0.18,10.746268656716417
01E57DAC509AE48685D6219DE7718BA8,2020-10-04,criteo,roas,0.12,0.12,1.5,61,2,0,0.1,-2.0,0.03278688524590164,0.0,-2.0,0.1,0.05,1.639344262295082
01E57DAC509AE48685D6219DE7718BA8,2020-10-05,criteo,roas,0.12,0.12,1.5,35,2,0,0.1,-2.0,0.05714285714285714,0.0,-2.0,0.1,0.05,2.857142857142857
01E57DAC509AE48685D6219DE7718BA8,2020-10-19,criteo,roas,0.3,0.3,1.5,162,5,0,0.25,-5.0,0.030864197530864196,0.0,-5.0,0.25,0.05,1.5432098765432098
01E57DAC509AE48685D6219DE7718BA8,2020-10-20,criteo,roas,0.432,0.432,1.5,30,2,1,0.36,14.30742,0.06666666666666667,0.5,14.30742,0.36,0.18,12.0
